TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2022,5,7,2,59,11XX RICHARDS ST,Central Business District,490979.6695,5458144.8689
Other Theft,2022,5,20,14,47,11XX RICHARDS ST,Central Business District,490979.6695,5458144.8689
Other Theft,2022,3,19,7,30,11XX RICHARDS ST,Central Business District,491060.0307,5458238.5924
Other Theft,2022,4,18,15,10,11XX RICHARDS ST,Central Business District,491060.0307,5458238.5924
Other Theft,2022,4,7,11,30,11XX ROBSON ST,West End,490786.8251,5459241.5036
Other Theft,2022,3,4,14,52,11XX ROBSON ST,West End,490792.7021,5459235.6337
Other Theft,2022,4,20,11,55,11XX ROBSON ST,West End,490792.7021,5459235.6337
Other Theft,2022,3,8,18,0,11XX ROBSON ST,West End,490795.0156,5459233.3232
Other Theft,2022,3,26,12,15,11XX ROBSON ST,West End,490795.0156,5459233.3232
Other Theft,2022,4,11,3,30,11XX ROBSON ST,West End,490807.3948,5459220.9589
Other Theft,2022,6,26,16,55,11XX ROBSON ST,West End,490827.3798,5459188.0745
Other Theft,2022,1,29,16,30,11XX ROBSON ST,West End,490839.1964,5459176.2721
Other Theft,2022,5,11,17,4,11XX ROBSON ST,West End,490842.0725,5459173.3997
Other Theft,2022,1,24,11,0,11XX ROBSON ST,West End,490842.6572,5459185.7394
Other Theft,2022,2,13,13,8,11XX ROBSON ST,West End,490842.6572,5459185.7394
Other Theft,2022,2,20,18,35,11XX ROBSON ST,West End,490842.6572,5459185.7394
Other Theft,2022,3,23,14,43,11XX ROBSON ST,West End,490842.6572,5459185.7394
Other Theft,2022,2,5,13,40,11XX ROBSON ST,West End,490878.5851,5459136.931
Other Theft,2022,3,15,13,0,11XX ROBSON ST,West End,490882.2335,5459146.2108
Other Theft,2022,4,14,11,2,11XX ROBSON ST,West End,490882.2335,5459146.2108
Other Theft,2022,4,16,10,15,11XX ROBSON ST,West End,490882.2335,5459146.2108
Other Theft,2022,4,17,12,28,11XX ROBSON ST,West End,490882.2335,5459146.2108
Other Theft,2022,4,18,10,37,11XX ROBSON ST,West End,490882.2335,5459146.2108
Other Theft,2022,5,29,19,30,11XX ROBSON ST,West End,490912.5973,5459102.9607
Other Theft,2022,4,13,21,12,11XX SEYMOUR ST,Central Business District,491008.6781,5458309.102
Other Theft,2022,4,11,19,50,11XX THURLOW ST,West End,490574.3107,5458747.2468
Other Theft,2022,5,19,21,33,11XX W 12TH AVE,Fairview,490561.7719,5456441.7956
Other Theft,2022,4,14,5,6,11XX W 57TH AVE,Marpole,490387.8623,5451832.6118
Other Theft,2022,6,2,7,30,11XX W 59TH AVE,Marpole,490346.1108,5451606.2472
Other Theft,2022,2,24,13,30,11XX W 7TH AVE,Fairview,490613.7322,5456940.3917
Other Theft,2022,3,21,16,45,11XX W BROADWAY AVE,Fairview,490486.856,5456749.2271
Other Theft,2022,5,2,13,21,11XX W BROADWAY AVE,Fairview,490486.856,5456749.2271
Other Theft,2022,6,20,12,30,11XX W BROADWAY AVE,Fairview,490546.5113,5456756.7144
Other Theft,2022,5,8,6,0,11XX W CORDOVA ST,Central Business District,491128.9874,5459617.4195
